id,lat,long,name,city,craving,tags,addresse
533,48.8729603,2.363288,Early June,75010,table,neobistrot,"19 Rue Jean Poulmarch, 75010 Paris"
534,48.8522001,2.3730884,Brasserie Rosie,75011,table,brasserie,"53 Rue du Faubourg Saint-Antoine, 75011 Paris"
537,48.854484,2.332758,Yen,75006,table,japonais,"22 Rue Saint-Benoît, 75006 Paris"
538,48.8611398,2.3635477,OGATA Paris,75003,table,japonais,"16 Rue Debelleyme, 75003 Paris"
539,48.8636462,2.3724034,FIEF (Fait Ici En France),75011,table,neobistrot,"44 Rue de la Folie Méricourt, 75011 Paris"
540,48.8659211,2.3490668,Shabour,75002,table,orient/etoile/gastronomique,"19 Rue Saint-Sauveur, 75002 Paris"
542,48.8641807,2.3679156,Le Tagine,75011,table,orient,"13 Rue de Crussol, 75011 Paris"
543,48.8878044,2.3347482,Chantoiseau,75018,table,neobistrot,"63 Rue Lepic, 75018 Paris"
544,48.9042407,2.3390165,Bonne Aventure,93400,table,neobistrot/vins/coeur,"59 Rue des Rosiers, 93200 Saint Ouen"
546,48.8537509,2.3404345,Kitchen Galerie Bis,75006,table,neobistrot,"25 Rue des Grands Augustins, 75006 Paris"
547,48.8578452,2.3965621,Caché,75020,table,neobistrot,"13 Vla Riberolle, 75020 Paris"
548,48.8814656,2.3183193,Le Bar à sushi Izumi,75008,table,japonais,"55 Bd des Batignolles, 75008 Paris"
549,48.8634143,2.3798308,Restaurant Aglio e Olio,75011,table,neobistrot/italien,"5 Rue Guillaume Bertrand, 75011 Paris"
551,48.86116,2.3782597,Krügen Général,75011,table,crepes,"4 Rue du Général Renault, 75011 Paris"
552,48.8681295,2.373926,Krügen Roi,75011,table,crepes,"58 Rue de la Fontaine au Roi, 75011 Paris"
553,48.871995,2.36692,ÅKE - Table & Vin,75010,table,neobistrot/vins,"8 Rue Marie et Louise, 75010 Paris"
556,48.8171214,2.3400262,Comptoir Coréen 꽁뚜아르 꼬레앙,75014,table,asiatique,"17 Bd Jourdan, 75014 Paris"
568,48.851537,2.277786,Daroco 16,75016,table,italien,"3 Pl. Clément Ader, 75016 Paris"
569,48.8671391,2.3392712,Daroco 2,75002,table,italien,"6 Rue Vivienne, 75002 Paris"
584,48.8683099,2.3417505,Cali Sisters,75002,table,vege,"17 Rue Notre Dame des Victoires, 75002 Paris"
585,48.8478379,2.3131478,Oui Mon Général !,75007,table,neobistrot,"14 Rue du Général Bertrand, 75007 Paris"
593,48.8719938,2.3476571,Kémia Paris,75009,table,neobistrot,"1 Rue Bergère, 75009 Paris"
607,48.8694776,2.3712576,Le Dauphin,75011,table,neobistrot,"131 Ave Parmentier, 75011 Paris"
609,48.8632026,2.356599,Parcelles,75003,table,neobistrot,"13 Rue Chapon, 75003 Paris"
610,48.8609861,2.3422587,Liquide par Substance,75001,table,neobistrot,"39 Rue de l'Arbre Sec, 75001 Paris"
611,48.8722886,2.3822722,PALOMA,75020,table,neobistrot,"93 Rue Julien Lacroix, 75020 Paris"
612,48.8851127,2.3357942,Sushi Shunei,75018,table,japonais,"3 Rue Audran, 75018 Paris"
614,48.8806409,2.3500587,Billili,75010,table,neobistrot,"136 Rue du Faubourg Poissonnière, 75010 Paris"
617,48.8580454,2.3966948,Amagat,75020,table,neobistrot,"23 Vla Riberolle, 75020 Paris"
631,48.8625855,2.3621245,Les enfants du marché,75003,table,neobistrot,"39 Rue de Bretagne, 75003 Paris"
632,48.8638048,2.362612,PNY Marais,75003,table,burger,"1 Rue Perrée, 75003 Paris"
633,,,PNY BURGER PIGALLE,75009,table,burger,"24 Rue Pierre Fontaine, 75009 Paris"
634,,,PNY BURGER FAUBOURG SAINT-DENIS,75010,table,burger,"50 Rue du Faubourg Saint-Denis, 75010 Paris"
635,,,PNY BURGER OBERKAMPF,75011,table,burger,"96 Rue Oberkampf, 75011 Paris"
636,,,PNY BURGER GAITÉ,75014,table,burger,"15 Rue de la Gaité, 75014 Paris"
637,,,PNY BURGER BRETONNERIE,75004,table,burger,"10 Rue Sainte-Croix de la Bretonnerie, 75004 Paris"
639,48.89445,2.340529,Le Ruisseau - Paris 18,75018,table,burger,"65 Rue du Ruisseau, 75018 Paris"
640,,,Le Ruisseau Burger Joint,75003,table,burger,"22 Rue Rambuteau, 75003 Paris"
647,48.8777917,2.3651585,STREET BANGKOK - Canal,75010,table,asiatique,"3 Rue Eugène Varlin, 75010 Paris"
651,48.8854377,2.3198813,Les frères des Batignolles,75017,pouce,orient/coeur/dwich,"45 Rue des Batignolles, 75017 Paris"
655,48.8617983,2.3829094,Yemma - Chemin Vert,75011,table,orient,"119 Rue du Chemin Vert, 75011 Paris "
656,48.8657477,2.3505033,Yemma - Saint Sauveur,75002,table,orient,"2 Rue Saint-Sauveur, 75002 Paris"
659,48.8582675,2.3534227,Homer - all about lobster,75004,table,,"21 Rue Rambuteau, 75004 Paris"
660,48.8613189,2.3650928,Pontochoux,75003,table,,"18 Rue du Pont aux Choux, 75003 Paris"
666,,,IPPUDO Louvre,75001,table,japonais,"74-76 rue Jean-Jacques Rousseau, 75001 Paris"
667,,,IPPUDO Saint-Germain,75006,table,japonais,"14 rue Grégoire de Tours, 75006 Paris"
668,,,IPPUDO République,75010,table,japonais,"6 place Jacques Bonsergent, 75010 Paris"
