id,lat,long,name,city,craving,tags,addresse
556,48.8171214,2.3400262,Comptoir Coréen 꽁뚜아르 꼬레앙,75014,table,asiatique,"17 Bd Jourdan, 75014 Paris"
568,48.851537,2.277786,Daroco 16,75016,table,italien,"3 Pl. Clément Ader, 75016 Paris"
569,48.8671391,2.3392712,Daroco 2,75002,table,italien,"6 Rue Vivienne, 75002 Paris"
584,48.8683099,2.3417505,Cali Sisters,75002,table,vege,"17 Rue Notre Dame des Victoires, 75002 Paris"
585,48.8478379,2.3131478,Oui Mon Général !,75007,table,neobistrot,"14 Rue du Général Bertrand, 75007 Paris"
593,48.8719938,2.3476571,Kémia Paris,75009,table,neobistrot,"1 Rue Bergère, 75009 Paris"
607,48.8694776,2.3712576,Le Dauphin,75011,table,neobistrot,"131 Ave Parmentier, 75011 Paris"
609,48.8632026,2.356599,Parcelles,75003,table,neobistrot,"13 Rue Chapon, 75003 Paris"
610,48.8609861,2.3422587,Liquide par Substance,75001,table,neobistrot,"39 Rue de l'Arbre Sec, 75001 Paris"
611,48.8722886,2.3822722,PALOMA,75020,table,neobistrot,"93 Rue Julien Lacroix, 75020 Paris"
612,48.8851127,2.3357942,Sushi Shunei,75018,table,japonais,"3 Rue Audran, 75018 Paris"
614,48.8806409,2.3500587,Billili,75010,table,neobistrot,"136 Rue du Faubourg Poissonnière, 75010 Paris"
617,48.8580454,2.3966948,Amagat,75020,table,neobistrot,"23 Vla Riberolle, 75020 Paris"
631,48.8625855,2.3621245,Les enfants du marché,75003,table,neobistrot,"39 Rue de Bretagne, 75003 Paris"
632,48.8638048,2.362612,PNY Marais,75003,table,burger,"1 Rue Perrée, 75003 Paris"
633,48.8818608,2.3340468,PNY BURGER PIGALLE,75009,table,burger,"24 Rue Pierre Fontaine, 75009 Paris"
634,48.8720152,2.3539968,PNY BURGER FAUBOURG SAINT-DENIS,75010,table,burger,"50 Rue du Faubourg Saint-Denis, 75010 Paris"
635,48.8656521,2.3777638,PNY BURGER OBERKAMPF,75011,table,burger,"96 Rue Oberkampf, 75011 Paris"
636,48.8401679,2.3240655,PNY BURGER GAITÉ,75014,table,burger,"15 Rue de la Gaité, 75014 Paris"
637,48.8578265,2.3571762,PNY BURGER BRETONNERIE,75004,table,burger,"10 Rue Sainte-Croix de la Bretonnerie, 75004 Paris"
639,48.89445,2.340529,Le Ruisseau - Paris 18,75018,table,burger,"65 Rue du Ruisseau, 75018 Paris"
640,48.860939,2.3544983,Le Ruisseau Burger Joint,75003,table,burger,"22 Rue Rambuteau, 75003 Paris"
651,48.8854377,2.3198813,Les frères des Batignolles,75017,pouce,orient/coeur/dwich,"45 Rue des Batignolles, 75017 Paris"
655,48.8617983,2.3829094,Cantine Yemma - Chemin Vert,75011,table,orient,"119 Rue du Chemin Vert, 75011 Paris"
656,48.8657477,2.3505033,Cantine Yemma - Saint Sauveur,75002,table,orient,"2 Rue Saint-Sauveur, 75002 Paris"
659,48.8582675,2.3534227,Homer - all about lobster,75004,table,nan,"21 Rue Rambuteau, 75004 Paris"
660,48.8613189,2.3650928,Pontochoux,75003,table,nan,"18 Rue du Pont aux Choux, 75003 Paris"
666,48.86258090188856,2.340673419126124,IPPUDO Louvre,75001,table,japonais,"74-76 rue Jean-Jacques Rousseau, 75001 Paris"
667,48.8531572,2.3378245,IPPUDO Saint-Germain,75006,table,japonais,"14 rue Grégoire de Tours, 75006 Paris"
668,48.8710571,2.3612238,IPPUDO République,75010,table,japonais,"6 place Jacques Bonsergent, 75010 Paris"
669,48.85464,2.338068,Kodawari Ramen (Yokochō),75006,table,japonais,"29 Rue Mazarine, 75006 Paris"
670,48.8644027,2.3363001,Kodawari Ramen (Tsukiji),75001,table,japonais,"12 Rue de Richelieu, 75001 Paris"
671,48.8671431,2.3348348,Hakata Choten OPERA,75001,table,japonais/coeur,"53 Rue des Petits Champs, 75001 Paris"
672,48.8629014,2.3489608,Hakata Choten Les Halles,75001,table,japonais,"16 Rue de la Grande Truanderie, 75001 Paris"
673,48.850597,2.380291,21G Dumpling,75011,table,japonais,"167 Rue du Faubourg Saint-Antoine, 75011 Paris"
677,48.8717139,2.3681346,Le Petit Cambodge,75010,table,asiatique,"20 Rue Alibert, 75010 Paris"
679,48.8635584,2.3442057,Café lai'Tcha,75001,table,asiatique,"7 Rue du Jour, 75001 Paris"
